# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 59775.040254
2, 1.999943, , , 59775.040254
3, 2.999829, , , 59775.040254
4, 3.999659, , , 59775.040254
5, 4.999431, , , 59775.040254
6, 5.999147, , , 59775.040254
7, 6.998806, , , 59775.040254
8, 7.998408, , , 59775.040254
9, 8.997953, , , 59775.040254
10, 9.997441, , , 59775.040254
11, 10.996872, , , 59775.040254
12, 11.996247, , , 59775.040254
13, 12.995565, , , 59775.040254
14, 13.994826, , , 59775.040254
15, 14.99403, , , 59775.040254
16, 15.993177, , , 59775.040254
