# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 967.880707
2, 1.996493, , , 967.880707
3, 2.989498, , , 967.880707
4, 3.979034, , , 967.880707
5, 4.965117, , , 967.880707
6, 5.947766, , , 967.880707
7, 6.927, , , 967.880707
8, 7.902835, , , 967.880707
9, 8.87529, , , 967.880707
10, 9.844383, , , 967.880707
11, 10.810129, , , 967.880707
12, 11.772548, , , 967.880707
13, 12.731655, , , 967.880707
14, 13.687469, , , 967.880707
15, 14.640005, , , 967.880707
16, 15.589281, , , 967.880707
