# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 479511.638038
2, 1.999993, , , 479511.638038
3, 2.999979, , , 479511.638038
4, 3.999957, , , 479511.638038
5, 4.999929, , , 479511.638038
6, 5.999894, , , 479511.638038
7, 6.999851, , , 479511.638038
8, 7.999801, , , 479511.638038
9, 8.999745, , , 479511.638038
10, 9.999681, , , 479511.638038
11, 10.99961, , , 479511.638038
12, 11.999532, , , 479511.638038
13, 12.999447, , , 479511.638038
14, 13.999355, , , 479511.638038
15, 14.999256, , , 479511.638038
16, 15.999149, , , 479511.638038
