# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 152.294316
2, 1.977921, , , 152.294316
3, 2.934487, , , 152.294316
4, 3.870389, , , 152.294316
5, 4.78629, , , 152.294316
6, 5.682825, , , 152.294316
7, 6.5606, , , 152.294316
8, 7.420199, , , 152.294316
9, 8.262181, , , 152.294316
10, 9.087081, , , 152.294316
11, 9.895415, , , 152.294316
12, 10.687676, , , 152.294316
13, 11.464339, , , 152.294316
14, 12.22586, , , 152.294316
15, 12.972677, , , 152.294316
16, 13.705213, , , 152.294316
