# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 285.53494
2, 1.988163, , , 285.53494
3, 2.964698, , , 285.53494
4, 3.929809, , , 285.53494
5, 4.883695, , , 285.53494
6, 5.826551, , , 285.53494
7, 6.758568, , , 285.53494
8, 7.67993, , , 285.53494
9, 8.59082, , , 285.53494
10, 9.491415, , , 285.53494
11, 10.38189, , , 285.53494
12, 11.262412, , , 285.53494
13, 12.133149, , , 285.53494
14, 12.994262, , , 285.53494
15, 13.845911, , , 285.53494
16, 14.68825, , , 285.53494
