# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 16.923747
2, 1.817437, , , 16.923747
3, 2.498124, , , 16.923747
4, 3.073727, , , 16.923747
5, 3.566837, , , 16.923747
6, 3.994001, , , 16.923747
7, 4.36762, , , 16.923747
8, 4.697168, , , 16.923747
9, 4.990007, , , 16.923747
10, 5.251949, , , 16.923747
11, 5.487637, , , 16.923747
12, 5.700831, , , 16.923747
13, 5.894604, , , 16.923747
14, 6.071494, , , 16.923747
15, 6.233616, , , 16.923747
16, 6.382745, , , 16.923747
