# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 103.114569
2, 1.967562, , , 103.114569
3, 2.904238, , , 103.114569
4, 3.811486, , , 103.114569
5, 4.690669, , , 103.114569
6, 5.54307, , , 103.114569
7, 6.369896, , , 103.114569
8, 7.172279, , , 103.114569
9, 7.951288, , , 103.114569
10, 8.707929, , , 103.114569
11, 9.443153, , , 103.114569
12, 10.157856, , , 103.114569
13, 10.852885, , , 103.114569
14, 11.529042, , , 103.114569
15, 12.187084, , , 103.114569
16, 12.827731, , , 103.114569
