# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 13.695823
2, 1.779161, , , 13.695823
3, 2.403363, , , 13.695823
4, 2.914652, , , 13.695823
5, 3.341125, , , 13.695823
6, 3.70227, , , 13.695823
7, 4.01203, , , 13.695823
8, 4.280643, , , 13.695823
9, 4.515797, , , 13.695823
10, 4.723378, , , 13.695823
11, 4.907966, , , 13.695823
12, 5.073181, , , 13.695823
13, 5.221921, , , 13.695823
14, 5.356533, , , 13.695823
15, 5.478939, , , 13.695823
16, 5.590728, , , 13.695823
