# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 749.201038
2, 1.995472, , , 749.201038
3, 2.986447, , , 749.201038
4, 3.972955, , , 749.201038
5, 4.955027, , , 749.201038
6, 5.932691, , , 749.201038
7, 6.905979, , , 749.201038
8, 7.874918, , , 749.201038
9, 8.839539, , , 749.201038
10, 9.799869, , , 749.201038
11, 10.755939, , , 749.201038
12, 11.707775, , , 749.201038
13, 12.655406, , , 749.201038
14, 13.59886, , , 749.201038
15, 14.538164, , , 749.201038
16, 15.473345, , , 749.201038
