# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 18.935992
2, 1.835239, , , 18.935992
3, 2.543338, , , 18.935992
4, 3.151273, , , 18.935992
5, 3.678893, , , 18.935992
6, 4.141128, , , 18.935992
7, 4.549423, , , 18.935992
8, 4.912699, , , 18.935992
9, 5.238012, , , 18.935992
10, 5.531019, , , 18.935992
11, 5.796303, , , 18.935992
12, 6.037622, , , 18.935992
13, 6.258083, , , 18.935992
14, 6.460277, , , 18.935992
15, 6.646385, , , 18.935992
16, 6.818254, , , 18.935992
