# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 127.16541
2, 1.973616, , , 127.16541
3, 2.921878, , , 127.16541
4, 3.845765, , , 127.16541
5, 4.746203, , , 127.16541
6, 5.624075, , , 127.16541
7, 6.480218, , , 127.16541
8, 7.31543, , , 127.16541
9, 8.130468, , , 127.16541
10, 8.926055, , , 127.16541
11, 9.702879, , , 127.16541
12, 10.461596, , , 127.16541
13, 11.202831, , , 127.16541
14, 11.927182, , , 127.16541
15, 12.63522, , , 127.16541
16, 13.327489, , , 127.16541
