# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 20.642009
2, 1.84782, , , 20.642009
3, 2.575743, , , 20.642009
4, 3.207521, , , 20.642009
5, 3.761024, , , 20.642009
6, 4.249949, , , 20.642009
7, 4.684976, , , 20.642009
8, 5.074551, , , 20.642009
9, 5.425443, , , 20.642009
10, 5.743143, , , 20.642009
11, 6.032146, , , 20.642009
12, 6.296173, , , 20.642009
13, 6.538328, , , 20.642009
14, 6.76122, , , 20.642009
15, 6.96706, , , 20.642009
16, 7.157732, , , 20.642009
